typing_speed_wpm,avg_keystroke_interval_ms,backspace_ratio,pause_frequency_per_min,mouse_velocity_px_s,mouse_distance_px,click_frequency_per_min,idle_time_seconds,error_rate,response_time_seconds,retry_count,context_switches_per_min,cognitive_load
54.61,295.86,0.1776,5,272.61,1840.51,17.85,12.2,0.1065,6.37,3,8,1
26.29,199.7,0.0775,5,342.08,1677.62,12.37,6.05,0.1208,3.95,0,6,1
57.88,191.64,0.0547,4,457.76,1385.01,10.65,2.15,0.0608,5.89,0,1,0
34.66,414.51,0.2722,16,120.0,2471.44,31.36,11.35,0.1781,19.99,3,12,2
63.67,110.74,0.0599,3,471.63,1601.28,16.98,4.82,0.0282,3.74,0,3,0
62.72,210.28,0.0299,2,387.59,1277.45,17.16,3.75,0.0336,4.38,1,2,0
41.92,448.82,0.1569,11,139.57,2273.53,17.44,13.19,0.1702,15.86,2,4,2
56.02,177.48,0.0565,4,364.69,1241.68,21.45,5.8,0.0362,2.75,0,2,0
45.66,255.94,0.0842,5,336.18,1745.65,14.26,12.32,0.1547,7.73,0,5,1
40.35,427.87,0.1283,4,55.72,2324.11,32.01,16.35,0.1888,12.19,4,10,2
57.96,227.94,0.0972,3,318.07,1463.21,6.17,4.89,0.0456,4.37,0,3,0
28.74,308.99,0.1917,6,150.47,2057.44,23.76,16.67,0.23,8.5,3,9,2
25.16,382.03,0.1449,15,149.22,2714.83,23.2,14.45,0.0369,14.41,5,8,2
57.75,187.45,0.0461,1,518.51,1058.28,14.83,6.12,0.0351,5.4,0,2,0
30.97,309.84,0.1668,10,158.71,2335.26,29.88,11.01,0.2659,17.83,6,10,2
35.31,337.12,0.163,13,147.22,2419.24,32.65,17.66,0.151,12.67,14,8,2
36.92,457.52,0.1859,10,244.72,1458.94,23.07,16.11,0.1333,15.56,3,13,2
28.17,288.18,0.1569,18,148.91,1989.76,29.2,9.3,0.1939,9.47,5,10,2
49.37,233.99,0.1278,10,260.97,2447.82,18.72,9.01,0.1323,5.59,2,8,1
68.3,119.37,0.0599,2,453.86,1099.53,21.86,4.81,0.0172,4.53,0,4,0
38.89,292.47,0.1558,6,216.04,2897.35,32.64,12.87,0.1777,14.06,5,4,2
47.22,214.29,0.1496,6,318.17,2050.35,29.48,8.98,0.0474,7.03,0,3,1
57.47,158.05,0.0117,3,436.32,1338.59,15.89,3.51,0.01,5.32,0,3,0
61.18,185.66,0.0358,2,417.57,1459.32,18.57,7.03,0.0548,6.26,1,3,0
44.39,281.08,0.1484,5,217.8,1945.77,19.18,9.37,0.0802,9.27,1,5,1
37.94,448.02,0.1422,13,159.9,2554.08,32.92,14.69,0.1613,15.07,7,3,2
54.1,169.34,0.0801,1,293.43,1232.15,9.44,4.56,0.0062,3.88,0,2,0
49.93,217.7,0.0234,0,410.01,1468.41,16.7,2.69,0.0,2.96,1,0,0
64.7,191.72,0.0617,2,429.65,1402.67,16.25,1.29,0.0197,6.07,0,0,0
65.38,224.19,0.1112,9,357.69,1067.61,18.22,11.38,0.1044,6.56,4,1,1
43.64,293.35,0.2668,13,122.91,2928.06,32.26,9.47,0.2356,9.66,1,8,2
64.59,174.66,0.0664,1,383.26,1680.68,17.87,3.08,0.0493,3.22,0,2,0
60.79,304.75,0.1077,4,197.98,2350.95,14.54,12.88,0.0533,7.31,0,3,1
73.84,183.84,0.1005,4,339.43,1612.57,11.53,5.81,0.0341,3.79,0,2,0
37.52,238.73,0.1581,10,266.38,2385.48,30.98,11.21,0.0944,13.81,2,7,2
18.57,355.61,0.1819,10,117.28,3246.31,39.41,20.1,0.1096,9.3,4,13,2
36.71,249.89,0.1945,8,188.57,2594.49,28.89,16.05,0.1101,17.01,8,8,2
44.8,236.51,0.1597,5,260.34,1666.93,21.79,6.95,0.115,9.24,1,3,1
37.91,413.24,0.2973,13,177.93,2503.15,37.99,17.63,0.1137,13.26,2,8,2
59.48,224.34,0.0766,2,467.93,1017.15,16.89,3.22,0.0563,4.01,1,1,0
70.7,162.2,0.0516,1,412.89,1209.35,18.68,2.65,0.0534,3.54,2,2,0
71.26,158.69,0.047,2,282.52,1667.61,13.04,3.2,0.0136,5.35,0,1,0
39.98,272.77,0.1146,4,295.44,1664.42,5.47,7.96,0.0874,8.45,3,2,1
45.3,285.72,0.0961,7,278.6,1422.74,25.29,4.93,0.1039,10.4,2,4,1
22.21,337.63,0.1425,11,269.05,2193.48,31.4,16.03,0.2052,9.08,1,10,2
27.31,182.99,0.0553,6,399.26,1480.85,16.1,13.23,0.0581,8.78,0,4,1
37.08,304.21,0.2356,10,221.56,1900.73,30.07,7.84,0.1415,18.14,4,5,2
33.03,364.81,0.1829,8,205.86,3159.66,34.64,9.15,0.1961,12.54,5,11,2
61.97,195.56,0.0309,2,348.53,1096.86,12.48,5.85,0.0736,4.56,0,3,0
32.29,314.25,0.2155,7,235.9,2158.65,27.04,19.02,0.2648,13.35,1,6,2
39.37,232.81,0.1131,8,270.17,1888.93,27.49,5.1,0.0895,4.95,2,5,1
53.76,152.78,0.0182,4,464.81,1126.61,15.22,4.5,0.0683,4.42,1,1,0
51.8,341.46,0.1307,7,273.12,1641.91,19.28,4.63,0.1203,4.99,0,4,1
41.47,381.08,0.1059,9,193.8,2267.96,38.25,16.06,0.1475,13.78,6,4,2
52.71,229.98,0.1083,3,257.35,2045.29,21.54,2.86,0.1096,8.87,0,3,1
62.4,211.57,0.0109,2,374.0,1732.32,9.06,2.27,0.0366,3.55,0,1,0
33.94,320.74,0.0,1,285.68,1929.38,12.99,4.89,0.1249,4.69,1,4,1
69.15,135.91,0.0372,3,395.51,1478.63,17.04,6.57,0.0362,4.84,1,1,0
52.75,182.28,0.0448,5,477.56,1106.7,14.12,6.09,0.027,5.13,0,2,0
45.27,448.58,0.2117,11,320.94,1643.45,28.93,18.64,0.0541,11.58,6,8,2
25.47,306.51,0.2618,7,190.1,2157.46,37.76,8.0,0.2711,11.46,2,12,2
22.29,186.37,0.0803,8,277.94,1866.33,23.87,8.95,0.0679,7.16,2,6,1
47.97,288.1,0.1354,5,323.76,1538.81,15.77,3.82,0.1295,2.76,1,6,1
30.7,438.44,0.0717,6,117.87,2692.3,28.76,14.69,0.1657,15.21,2,7,2
27.75,541.18,0.1736,12,186.41,3013.55,27.24,17.12,0.2544,12.13,2,12,2
60.91,226.05,0.0669,2,360.14,1548.24,15.87,3.73,0.0292,3.14,0,3,0
23.97,374.12,0.1724,9,215.07,2292.79,39.23,8.19,0.1938,14.68,3,10,2
59.6,190.14,0.0291,1,413.24,1076.76,8.24,2.3,0.0625,5.83,1,1,0
30.73,330.44,0.1369,11,199.02,2803.64,22.19,23.74,0.2471,13.78,5,6,2
84.75,158.85,0.0471,2,372.41,1476.89,16.23,3.87,0.0548,5.41,0,2,0
20.64,351.15,0.2349,13,220.85,2762.66,18.83,9.44,0.2416,13.06,6,12,2
70.8,262.37,0.0702,5,378.4,1711.58,16.25,5.75,0.023,4.77,2,0,0
20.54,403.55,0.1656,16,262.72,3260.69,29.38,10.97,0.1733,15.95,3,9,2
36.96,255.73,0.1345,3,253.65,1762.59,22.65,11.44,0.0539,8.32,5,3,1
40.58,414.27,0.187,15,237.86,2573.52,38.56,7.02,0.1656,14.48,5,11,2
38.4,278.95,0.0791,3,292.79,1685.24,20.48,10.96,0.0969,7.69,4,2,1
63.3,267.46,0.0866,10,268.09,1774.88,28.42,11.11,0.0691,8.3,2,4,1
45.83,255.77,0.1158,5,308.68,2063.47,21.62,6.44,0.093,8.77,0,6,1
39.57,380.55,0.1802,16,170.43,2086.6,26.99,13.79,0.1538,19.83,3,10,2
42.87,290.54,0.1211,7,206.16,1692.59,27.15,9.07,0.0829,9.16,2,4,1
75.09,184.49,0.0546,2,410.04,1539.63,12.83,1.37,0.0086,2.63,0,2,0
45.69,290.32,0.0906,8,236.53,2035.95,18.57,9.55,0.0887,6.1,2,6,1
81.55,251.5,0.0456,2,397.12,1340.6,16.92,3.4,0.0086,3.58,0,2,0
70.45,148.43,0.0067,3,316.23,1121.19,12.96,3.55,0.0145,7.62,2,2,0
57.55,197.13,0.0682,5,431.8,1125.54,11.66,1.36,0.056,4.82,0,3,0
25.98,329.22,0.1841,12,223.6,2463.11,24.97,10.66,0.1809,10.9,3,8,2
29.61,369.11,0.1437,13,213.21,2934.49,30.21,7.29,0.0439,11.26,6,13,2
32.11,383.86,0.148,20,147.02,2443.78,33.97,10.63,0.2011,5.34,2,10,2
24.74,272.9,0.1519,8,256.3,2463.79,23.83,12.8,0.1695,17.04,5,2,2
45.11,362.49,0.118,9,251.47,1734.31,30.71,17.04,0.2211,15.77,4,9,2
26.85,501.57,0.1148,13,248.98,2181.67,27.4,21.23,0.18,9.38,8,7,2
36.98,436.62,0.134,9,233.65,1951.39,30.95,12.6,0.2162,14.87,0,7,2
51.2,195.78,0.0699,3,430.06,919.32,20.1,0.84,0.0501,3.42,0,3,0
56.1,188.96,0.0626,2,530.15,1316.48,17.45,6.96,0.0,6.15,1,1,0
20.38,230.78,0.1195,9,170.63,2222.9,29.38,11.46,0.1577,15.49,3,7,2
51.22,255.5,0.0277,7,261.45,2209.46,23.3,11.0,0.1511,7.54,2,2,1
32.77,396.42,0.1518,13,172.99,1562.78,37.57,9.43,0.243,12.06,2,9,2
27.93,260.11,0.0977,4,312.05,1279.53,21.4,2.47,0.1322,9.07,0,5,1
46.64,205.65,0.0536,5,297.23,2072.41,25.64,8.53,0.1012,6.81,2,5,1
58.28,268.04,0.0596,7,232.26,1779.46,29.13,11.7,0.0665,8.41,1,3,1
42.98,393.15,0.2055,15,178.55,1631.16,31.32,10.41,0.1289,17.65,4,11,2
22.0,357.21,0.2389,15,225.87,2618.96,28.49,11.26,0.2335,16.5,3,9,2
57.85,303.94,0.1072,8,238.14,1894.58,18.51,5.29,0.0226,9.81,1,5,1
60.15,174.18,0.0566,2,556.96,955.41,14.17,4.44,0.0261,2.98,2,0,0
49.72,337.05,0.1068,1,219.24,2159.3,25.91,4.23,0.0886,8.61,2,6,1
58.4,176.98,0.099,6,220.39,1702.52,19.11,3.06,0.0576,5.97,3,5,1
13.59,495.26,0.1209,10,80.54,2259.42,39.42,11.91,0.2244,13.74,2,10,2
31.94,382.49,0.1342,10,304.63,2203.07,37.83,8.41,0.2113,11.9,3,6,2
35.31,404.99,0.1809,18,218.84,2554.25,29.54,13.71,0.1501,13.04,3,6,2
66.54,156.06,0.0547,3,403.98,1283.36,13.54,7.36,0.0491,5.04,0,0,0
63.65,163.56,0.0389,4,492.98,1210.13,17.19,5.42,0.0511,4.57,1,3,0
65.97,203.24,0.0318,3,511.85,1534.6,3.31,3.78,0.0185,6.56,0,1,0
61.3,206.67,0.0298,0,432.44,1587.43,18.15,4.69,0.0754,2.96,1,3,0
30.21,346.07,0.1417,15,205.28,1780.53,28.48,14.33,0.2385,4.18,4,11,2
64.96,160.21,0.0537,3,471.76,1163.75,16.56,2.71,0.0378,4.9,0,2,0
36.05,404.09,0.1913,8,195.76,2742.39,32.22,15.56,0.2346,19.61,6,8,2
16.59,446.69,0.2213,10,159.08,2976.39,15.61,19.3,0.2528,14.43,2,15,2
25.53,271.37,0.1672,13,156.63,2883.65,34.06,10.05,0.1607,17.26,3,4,2
67.84,208.2,0.0887,4,354.84,1496.82,20.05,3.54,0.0619,5.01,0,2,0
64.49,188.09,0.0112,2,455.36,1502.17,13.91,2.99,0.0508,4.11,0,1,0
64.87,130.52,0.0604,3,411.28,889.94,6.59,4.07,0.0117,2.32,0,2,0
33.39,358.66,0.3226,8,202.56,2083.25,13.47,12.77,0.2267,14.34,5,9,2
70.96,275.63,0.0676,4,529.76,1228.3,16.8,2.97,0.0573,3.95,1,4,0
57.37,177.07,0.0542,4,444.07,1144.82,25.42,0.74,0.0486,5.24,0,2,0
27.22,324.81,0.0732,4,280.6,1209.38,18.05,5.61,0.0893,7.3,3,7,1
22.62,326.01,0.1508,10,242.76,2198.26,28.57,12.45,0.1998,13.8,4,17,2
40.04,321.48,0.1788,4,286.07,1556.57,22.05,5.58,0.0329,5.0,1,5,1
89.73,196.85,0.0286,1,373.22,1215.78,11.69,3.35,0.0591,4.91,1,2,0
23.42,362.9,0.2238,12,77.08,2978.25,33.03,19.03,0.2053,14.78,2,13,2
42.01,297.81,0.1116,4,237.05,1967.93,22.18,6.39,0.1633,8.36,0,0,1
55.96,251.44,0.092,4,352.63,2136.45,29.03,5.92,0.131,4.8,2,5,1
60.52,266.32,0.1288,8,328.87,1571.32,14.17,9.3,0.1401,9.35,1,1,1
47.08,201.97,0.0524,4,394.26,1718.48,14.25,5.39,0.0404,5.21,0,0,0
35.3,529.95,0.2033,14,232.78,2150.69,30.51,6.27,0.1973,10.71,4,5,2
46.94,233.63,0.177,7,216.65,2163.8,17.88,8.43,0.0937,8.56,0,1,1
37.36,340.97,0.3197,13,137.26,1438.71,27.16,9.72,0.1717,17.3,1,6,2
47.94,245.44,0.0948,2,452.67,1693.74,14.38,3.21,0.0238,3.38,0,3,0
44.25,265.93,0.1517,6,253.71,1834.06,21.65,6.31,0.0821,10.51,0,3,1
43.54,221.63,0.0528,9,238.52,1699.02,27.3,4.83,0.0832,9.14,3,6,1
39.88,312.56,0.1739,12,130.45,2218.51,15.93,5.82,0.1973,16.23,5,13,2
32.49,214.57,0.0737,2,293.86,1753.13,8.44,10.36,0.0602,7.24,1,6,1
46.97,202.18,0.0341,4,576.68,1507.0,19.64,4.31,0.0285,4.42,2,1,0
46.04,175.99,0.1013,2,258.76,2056.94,24.29,6.78,0.1041,6.38,0,2,1
32.28,324.54,0.1426,7,214.72,2411.46,36.98,12.25,0.3125,12.71,9,10,2
55.68,233.74,0.0271,5,340.11,996.66,16.37,4.39,0.0482,6.13,0,3,0
48.47,228.28,0.1232,6,410.08,1869.41,27.73,9.34,0.1131,9.03,1,2,1
72.22,233.45,0.0247,1,280.71,1722.96,16.78,3.96,0.0248,6.28,0,3,0
73.76,172.03,0.0498,3,252.65,1207.89,14.85,2.16,0.0192,4.38,0,0,0
63.44,130.29,0.0166,4,309.15,1309.12,25.13,2.13,0.0856,4.38,0,5,0
70.39,189.93,0.0568,2,400.49,1597.58,14.93,6.49,0.0558,5.47,0,3,0
27.79,468.22,0.1414,8,127.94,2212.13,32.93,11.63,0.1549,11.99,5,8,2
46.37,233.3,0.0489,2,445.49,1406.51,16.39,7.65,0.0337,5.74,0,1,0
51.61,366.77,0.1225,5,234.0,2000.82,16.95,3.51,0.1076,8.34,2,4,1
53.85,266.26,0.1395,3,324.22,1455.57,6.32,11.72,0.1021,8.16,2,3,1
58.48,195.1,0.0745,1,448.1,1235.65,13.73,7.57,0.0425,3.21,0,1,0
52.71,192.53,0.1017,4,287.67,2077.46,19.94,4.66,0.0319,8.84,1,5,1
67.44,236.68,0.0368,1,321.24,1479.66,12.45,3.34,0.0311,3.7,1,2,0
63.43,169.76,0.0481,5,340.79,1308.3,9.64,4.76,0.0832,5.1,1,1,0
45.53,261.96,0.1963,13,199.17,1968.37,34.08,15.44,0.2352,15.82,7,10,2
25.53,493.68,0.1933,8,140.08,1962.05,21.69,5.15,0.1379,17.27,3,7,2
27.58,372.93,0.1704,13,205.48,2330.59,42.17,13.63,0.1969,19.36,3,8,2
56.45,340.58,0.1261,6,299.79,1411.82,26.94,10.26,0.0654,9.99,3,4,1
62.42,162.48,0.0499,4,442.01,1196.91,17.36,0.0,0.0312,5.22,0,0,0
55.59,323.36,0.1157,12,339.01,1481.39,22.54,7.13,0.1003,7.64,1,0,1
23.16,346.34,0.1657,7,189.75,3034.14,28.43,10.88,0.1663,16.3,6,7,2
26.1,429.85,0.3291,8,180.96,2137.97,34.26,11.85,0.148,12.41,2,6,2
38.12,317.85,0.0271,6,410.13,1590.8,17.07,7.24,0.0938,6.64,2,4,1
65.11,200.27,0.0496,4,418.15,1043.63,15.35,6.48,0.0471,4.58,1,1,0
32.02,355.63,0.1072,10,209.38,2051.53,38.74,13.31,0.0945,11.68,3,7,2
64.82,260.08,0.0388,2,390.13,876.01,14.99,3.77,0.0568,3.32,3,2,0
40.67,382.18,0.2189,5,77.01,2283.78,24.05,2.8,0.2352,18.11,5,12,2
65.99,266.18,0.062,6,337.57,1018.47,9.23,2.76,0.0452,5.0,0,0,0
20.05,345.33,0.0797,12,210.48,1844.26,33.62,11.07,0.1784,7.58,7,13,2
44.83,202.09,0.0566,8,244.08,1803.0,18.02,8.32,0.0986,6.73,1,3,1
53.07,331.67,0.0481,6,345.41,1817.22,28.94,6.14,0.117,8.14,2,2,1
43.66,231.23,0.1025,3,276.05,1876.06,22.27,13.12,0.124,7.08,1,2,1
69.73,158.93,0.0411,2,370.88,784.46,13.41,7.27,0.078,4.88,2,1,0
27.9,384.29,0.2049,14,199.16,2664.86,32.56,16.09,0.1416,10.09,4,12,2
79.33,205.28,0.0112,3,437.18,1452.95,15.02,2.09,0.0433,4.03,0,1,0
63.17,199.08,0.1729,5,308.33,1889.02,21.17,9.99,0.0771,11.49,1,1,1
36.15,227.86,0.0631,2,317.23,1898.29,23.35,4.24,0.1493,7.83,3,6,1
40.36,254.93,0.1679,5,291.03,2461.1,26.38,9.55,0.1115,7.88,1,4,1
19.93,317.52,0.1568,10,161.87,3185.53,30.38,15.58,0.2381,14.55,6,8,2
39.81,215.15,0.1488,3,268.39,1535.72,25.92,5.69,0.1324,9.27,5,3,1
63.04,297.59,0.1618,5,245.21,2202.72,16.76,4.26,0.1515,8.26,2,1,1
54.45,331.0,0.1839,6,245.27,1675.64,17.91,9.17,0.0658,5.5,1,5,1
53.04,271.99,0.0754,4,339.09,1866.67,27.31,10.39,0.0955,7.42,1,3,1
61.93,261.97,0.1372,8,297.49,1655.04,21.95,6.29,0.0906,8.02,2,3,1
43.22,316.49,0.0997,6,201.63,2417.57,23.29,10.6,0.2389,19.14,5,4,2
67.07,174.84,0.08,2,384.14,1431.83,10.59,2.74,0.0384,5.04,1,1,0
39.54,215.82,0.1324,3,350.15,1869.02,25.32,13.34,0.0491,10.8,1,2,1
71.08,201.37,0.0393,4,437.28,1004.79,14.18,4.37,0.0756,5.65,0,2,0
56.07,171.73,0.0476,2,412.39,1699.48,6.95,1.99,0.0422,4.7,1,3,0
34.1,233.58,0.0859,3,254.76,1655.03,11.84,5.3,0.1078,6.25,2,3,1
70.33,149.45,0.0437,4,419.63,1261.04,17.2,3.9,0.0,5.56,1,2,0
33.24,400.29,0.0587,12,299.68,2553.39,42.25,14.68,0.2343,11.38,5,12,2
45.05,225.93,0.0828,2,359.46,1416.2,15.03,3.25,0.0823,12.09,0,2,1
48.86,278.3,0.1689,4,356.73,1854.59,20.45,7.05,0.1112,6.75,1,5,1
40.65,282.94,0.1455,7,350.73,1335.72,25.53,6.8,0.1392,7.32,3,4,1
60.34,236.25,0.1235,6,356.97,1772.14,22.14,10.7,0.0753,7.31,2,3,1
67.11,144.05,0.0715,2,435.77,1307.5,16.41,4.36,0.0073,5.6,0,2,0
32.42,414.34,0.2201,5,241.7,2286.88,39.94,13.99,0.1945,8.11,6,10,2
51.68,275.13,0.0949,10,260.56,1945.75,16.0,9.81,0.018,5.98,1,2,1
61.87,177.13,0.0352,4,386.65,1574.55,13.03,4.52,0.0544,3.13,0,1,0
50.99,318.0,0.0926,4,307.99,1725.88,24.29,6.14,0.08,11.05,2,3,1
31.63,352.05,0.243,5,258.96,2608.09,21.75,8.44,0.2936,18.38,7,6,2
48.97,200.83,0.0287,2,443.59,982.44,15.08,2.07,0.0663,4.1,0,2,0
36.57,382.57,0.208,14,247.88,2868.55,31.24,9.24,0.1389,12.5,4,6,2
82.47,206.76,0.0531,1,401.22,1442.76,13.69,4.07,0.0339,3.22,0,2,0
43.71,245.3,0.1029,5,255.8,1599.61,16.64,5.52,0.1341,7.63,1,4,1
63.76,231.12,0.0673,3,438.23,1674.62,9.51,5.79,0.0019,4.05,0,0,0
17.16,319.15,0.2111,18,101.01,1818.43,27.89,8.22,0.2419,11.82,5,7,2
32.39,335.77,0.1971,16,284.78,2613.87,29.45,11.56,0.1546,17.21,4,11,2
41.43,224.09,0.1689,8,233.77,1729.96,34.34,5.19,0.0645,9.62,2,3,1
23.82,421.08,0.1356,13,272.39,2279.92,20.7,9.78,0.1487,12.34,4,7,2
63.46,219.5,0.0099,2,417.46,1523.75,8.97,2.0,0.0441,2.49,0,1,0
59.7,243.11,0.0877,6,245.69,1572.9,23.33,6.21,0.0609,6.13,4,7,1
52.96,233.46,0.0782,4,332.93,1802.55,19.98,8.68,0.1289,7.8,0,6,1
48.43,357.07,0.1212,10,185.1,2161.55,24.59,9.33,0.2458,10.8,4,9,2
45.38,228.21,0.0476,5,268.06,1773.97,24.73,4.27,0.156,9.19,3,4,1
74.06,144.05,0.0139,3,347.23,1320.92,10.47,1.58,0.0221,4.82,0,1,0
56.26,312.03,0.025,4,230.93,1849.09,28.48,8.41,0.0355,8.46,3,3,1
28.47,315.86,0.1769,10,90.79,1832.99,34.37,19.14,0.1627,14.44,3,13,2
46.8,281.85,0.1585,10,151.34,2682.4,41.36,16.68,0.1969,13.53,6,10,2
28.68,352.5,0.2629,6,222.01,2074.05,11.47,4.69,0.0855,14.61,7,10,2
36.41,357.77,0.1896,11,239.35,2538.3,28.14,14.89,0.1804,16.23,8,7,2
32.81,311.72,0.116,13,150.82,2388.31,18.18,9.98,0.1972,10.29,8,8,2
58.84,182.88,0.1123,4,529.66,1338.4,3.84,5.1,0.0135,3.73,0,4,0
72.34,174.18,0.0258,0,446.02,917.16,13.97,2.19,0.0578,3.6,0,2,0
26.04,370.13,0.2335,10,152.69,1980.95,36.79,10.03,0.1804,16.27,5,10,2
42.47,501.22,0.2735,8,166.41,2171.28,25.99,10.11,0.2268,17.17,4,9,2
63.3,196.17,0.0336,4,404.43,1339.96,20.12,2.84,0.0493,3.0,0,2,0
28.32,273.94,0.1582,14,215.75,2541.22,23.2,8.97,0.2504,9.46,6,3,2
32.6,338.89,0.2071,9,229.89,1970.68,32.5,15.63,0.2534,13.43,4,2,2
29.62,350.46,0.1335,10,161.29,2402.55,27.93,12.8,0.2404,16.29,1,6,2
63.62,166.26,0.0542,3,463.19,1339.79,15.21,3.71,0.0437,5.07,1,2,0
59.38,132.02,0.0199,2,391.6,1355.03,12.06,6.22,0.0427,2.21,0,1,0
41.66,277.79,0.1853,5,220.84,2647.78,34.73,7.84,0.177,10.56,4,3,2
42.3,382.83,0.1496,5,206.47,2792.7,29.58,14.04,0.1514,13.32,5,6,2
49.98,144.99,0.0384,3,401.71,1223.11,21.3,5.89,0.0236,3.45,2,1,0
43.94,260.3,0.0701,7,156.42,1815.12,8.02,6.98,0.0581,6.5,3,4,1
39.75,395.52,0.1741,14,199.53,2321.48,31.64,12.6,0.1484,10.45,6,10,2
25.76,361.2,0.2198,11,239.18,2267.25,19.96,17.66,0.2268,8.31,6,10,2
68.81,170.08,0.0564,4,298.7,1209.03,9.94,4.96,0.0464,4.72,0,1,0
53.32,135.24,0.0125,2,221.74,1158.02,13.02,4.13,0.0341,5.44,0,3,0
43.76,264.05,0.0975,4,308.27,1051.74,20.99,9.38,0.1437,5.41,1,3,1
53.33,285.46,0.0952,8,314.46,2234.02,29.15,10.99,0.0465,4.54,2,2,1
54.26,262.23,0.072,7,315.32,2436.75,16.64,10.27,0.0957,8.24,0,5,1
31.04,364.52,0.1351,15,228.75,2586.47,28.86,14.3,0.2889,13.92,5,9,2
62.1,227.29,0.038,2,341.69,1028.26,14.75,3.7,0.0586,4.54,0,0,0
42.35,323.85,0.0758,4,170.63,1960.88,16.47,7.0,0.0653,6.33,1,1,1
51.86,115.86,0.0617,3,615.02,1700.55,15.24,4.12,0.0416,2.29,0,3,0
66.45,200.29,0.0573,0,344.96,1579.6,18.45,4.78,0.043,3.14,0,1,0
31.45,349.15,0.2017,12,173.04,2136.03,26.88,16.39,0.238,14.13,2,5,2
36.28,273.34,0.1119,12,195.41,1857.47,41.57,12.5,0.1868,13.33,0,5,2
67.8,132.33,0.0149,2,388.56,1253.77,19.89,3.16,0.05,5.13,0,2,0
22.03,374.68,0.2173,14,212.51,2303.21,19.83,19.35,0.1904,19.41,4,8,2
70.3,196.26,0.0074,4,557.42,1319.25,19.64,1.86,0.0354,5.95,0,1,0
64.95,285.42,0.0928,9,315.31,1757.79,26.33,10.7,0.0628,8.69,2,5,1
29.97,352.82,0.1778,16,255.88,2707.96,29.75,7.43,0.2103,13.25,3,4,2
70.1,158.55,0.0513,1,430.73,1635.1,9.74,2.96,0.0615,5.13,1,4,0
55.98,208.83,0.1594,5,265.54,1647.7,17.01,4.81,0.1003,8.39,2,1,1
46.11,317.09,0.2003,14,139.93,1804.63,32.66,16.27,0.1078,11.77,2,8,2
62.32,206.8,0.1583,6,373.82,1765.78,28.21,7.53,0.0657,10.78,2,4,1
56.87,230.39,0.0566,2,445.18,1393.61,14.76,4.03,0.0648,4.94,0,3,0
39.97,193.34,0.1501,6,298.4,1055.33,19.91,8.82,0.139,8.24,0,8,1
87.15,143.43,0.036,4,429.4,1228.25,21.02,6.94,0.0728,4.02,1,2,0
41.07,272.7,0.1197,5,299.67,1885.66,25.73,8.53,0.1129,8.46,0,7,1
53.33,248.76,0.0852,6,175.05,1652.53,17.98,5.84,0.1071,8.89,2,1,1
55.39,261.14,0.1445,6,288.45,1598.87,16.07,7.66,0.1014,7.04,1,3,1
53.41,185.74,0.0277,2,447.11,1042.4,14.89,6.0,0.0467,5.42,2,2,0
38.17,300.19,0.2436,9,190.63,2418.56,30.51,11.26,0.1573,16.13,8,6,2
31.39,380.48,0.2512,11,242.85,2647.09,28.59,12.4,0.156,19.64,4,15,2
55.92,198.37,0.0312,4,353.79,1145.01,19.19,3.28,0.0518,3.45,1,0,0
72.72,171.29,0.0333,3,414.07,1373.6,24.9,5.82,0.0396,4.42,0,2,0
77.29,194.99,0.0298,3,378.86,1166.84,15.63,1.79,0.0195,3.57,0,1,0
70.75,119.14,0.0071,1,423.14,1076.11,21.54,6.86,0.0178,5.82,1,6,0
50.82,212.78,0.2229,6,361.54,1682.99,23.12,6.85,0.0447,8.32,3,4,1
30.34,259.05,0.1228,11,191.31,2612.13,21.74,18.57,0.2086,19.61,8,13,2
14.52,368.39,0.1798,10,222.8,2835.87,26.83,15.9,0.2612,17.66,2,12,2
47.86,195.05,0.1603,4,258.18,2052.37,15.05,2.1,0.0858,8.97,3,1,1
61.92,198.6,0.0885,0,381.3,1230.16,20.02,3.69,0.0323,4.95,1,2,0
43.05,285.47,0.1011,4,301.97,1569.68,23.02,10.57,0.0869,8.04,2,4,1
48.26,248.54,0.0374,7,349.28,1858.13,19.53,7.06,0.0622,10.89,0,5,1
68.13,168.1,0.0294,2,440.97,1821.59,17.89,4.08,0.0242,5.53,0,0,0
21.34,298.61,0.094,14,197.93,2193.77,40.98,9.68,0.2783,13.51,6,13,2
70.08,157.43,0.0406,1,444.27,1477.99,13.23,6.62,0.0671,5.83,0,1,0
37.68,451.65,0.1107,11,182.35,2239.64,38.92,10.85,0.2143,15.4,7,7,2
37.92,329.03,0.2247,14,187.89,2814.2,24.27,5.25,0.1748,12.25,2,9,2
46.59,357.38,0.177,7,211.1,2403.83,35.79,8.58,0.2509,14.88,4,5,2
33.13,332.42,0.2802,9,211.38,2637.67,39.28,14.59,0.1576,14.34,7,10,2
78.09,187.69,0.0661,2,415.85,1628.97,13.43,1.65,0.0457,4.28,0,0,0
22.1,365.84,0.2726,18,147.67,2461.57,30.49,19.7,0.1792,17.76,5,8,2
46.19,272.06,0.1249,2,233.31,2064.02,21.84,4.45,0.0896,4.63,1,5,1
56.88,270.04,0.1,8,278.0,1714.28,26.93,7.32,0.097,6.78,1,1,1
54.92,173.79,0.0609,1,636.29,921.93,13.61,6.42,0.0425,4.36,2,1,0
